id,n
place-chmnl,117370
place-masta,85381
place-rcmnl,73436
place-smmnl,46649
place-qnctr,161404
place-lech,82637
place-bbsta,131761
place-cntsq,269543
place-knncl,116823
place-coecl,128367
place-aport,142533
place-astao,36344
place-welln,158074
place-symcl,27603
place-nqncy,204403
place-dwnxg,189540
place-sstat,226509
place-crtst,13062
place-mvbcl,229696
place-ogmnl,120181
place-boyls,67790
place-state,73727
place-forhl,256169
place-jaksn,119336
place-armnl,60356
place-chncl,67481
place-qamnl,89128
place-haecl,172247
place-portr,181483
place-sull,179694
place-hymnl,78826
place-prmnl,42534
place-rbmnl,65966
place-aqucl,28379
place-orhte,84823
place-tumnl,77151
place-brdwy,78466
place-sbmnl,81559
place-pktrm,136635
place-alfcl,215893
place-wimnl,38033
place-brntn,55258
place-rugg,107711
place-gover,64674
place-asmnl,163977
place-jfk,121785
place-bmmnl,61528
place-ccmnl,57502
place-davis,265985
place-wtcst,7750
place-grnst,72016
place-kencl,107219
place-andrw,107039
place-mlmnl,291300
place-river,42514
place-fldcr,99113
place-harsq,280985
place-spmnl,8191
place-bomnl,15857
place-north,189782
place-sdmnl,7979
place-wondl,127784
place-shmnl,50893
