id,n
place-chmnl,347151
place-masta,163265
place-rcmnl,88797
place-smmnl,20400
place-qnctr,78592
place-lech,190592
place-bbsta,610633
place-cntsq,450647
place-knncl,743931
place-coecl,492388
place-aport,119687
place-astao,105344
place-welln,96993
place-symcl,44865
place-nqncy,109033
place-dwnxg,1140514
place-sstat,953805
place-crtst,80437
place-mvbcl,151908
place-ogmnl,61284
place-boyls,185551
place-state,621493
place-forhl,143654
place-jaksn,86038
place-armnl,299834
place-chncl,196523
place-qamnl,49634
place-haecl,278711
place-portr,125036
place-sull,160144
place-hymnl,264037
place-prmnl,130076
place-rbmnl,36109
place-aqucl,205979
place-orhte,46079
place-tumnl,180630
place-brdwy,176041
place-sbmnl,50183
place-pktrm,728846
place-alfcl,221931
place-wimnl,27637
place-brntn,53587
place-rugg,250536
place-gover,329678
place-asmnl,98518
place-jfk,180199
place-bmmnl,28867
place-ccmnl,100691
place-davis,181759
place-wtcst,42195
place-grnst,45605
place-kencl,229183
place-andrw,104031
place-mlmnl,106278
place-river,45545
place-fldcr,60011
place-harsq,562058
place-spmnl,32982
place-bomnl,66753
place-north,406038
place-sdmnl,6964
place-wondl,62371
place-shmnl,25782
