id,n
place-chmnl,122917
place-masta,91826
place-rcmnl,74873
place-smmnl,35115
place-qnctr,105235
place-lech,83560
place-bbsta,164928
place-cntsq,228076
place-knncl,165865
place-coecl,186102
place-aport,115864
place-astao,49261
place-welln,94211
place-symcl,30961
place-nqncy,108667
place-dwnxg,329876
place-sstat,249942
place-crtst,17709
place-mvbcl,175017
place-ogmnl,74665
place-boyls,93062
place-state,145574
place-forhl,194943
place-jaksn,95789
place-armnl,97359
place-chncl,106590
place-qamnl,49289
place-haecl,191626
place-portr,111909
place-sull,135177
place-hymnl,105685
place-prmnl,55656
place-rbmnl,55348
place-aqucl,56582
place-orhte,70279
place-tumnl,88180
place-brdwy,70981
place-sbmnl,57945
place-pktrm,228513
place-alfcl,140438
place-wimnl,29120
place-brntn,49220
place-rugg,128483
place-gover,107842
place-asmnl,129673
place-jfk,138438
place-bmmnl,45036
place-ccmnl,88507
place-davis,167560
place-wtcst,12118
place-grnst,52074
place-kencl,124895
place-andrw,93441
place-mlmnl,183768
place-river,38800
place-fldcr,82212
place-harsq,309523
place-spmnl,16158
place-bomnl,23274
place-north,171855
place-sdmnl,6495
place-wondl,98966
place-shmnl,34594
