id,n
place-chmnl,170427
place-masta,153293
place-rcmnl,139329
place-smmnl,115673
place-qnctr,414993
place-lech,170986
place-bbsta,314531
place-cntsq,473932
place-knncl,147812
place-coecl,183196
place-aport,225208
place-astao,73021
place-welln,390970
place-symcl,50690
place-nqncy,444724
place-dwnxg,150491
place-sstat,614689
place-crtst,20067
place-mvbcl,458551
place-ogmnl,423151
place-boyls,50608
place-state,58211
place-forhl,615667
place-jaksn,230214
place-armnl,57904
place-chncl,49255
place-qamnl,307942
place-haecl,221532
place-portr,479786
place-sull,343092
place-hymnl,119106
place-prmnl,51723
place-rbmnl,118453
place-aqucl,24840
place-orhte,182093
place-tumnl,77703
place-brdwy,224495
place-sbmnl,204508
place-pktrm,124808
place-alfcl,666525
place-wimnl,83007
place-brntn,165614
place-rugg,175002
place-gover,54764
place-asmnl,406596
place-jfk,211134
place-bmmnl,158087
place-ccmnl,78406
place-davis,728839
place-wtcst,8593
place-grnst,174626
place-kencl,138273
place-andrw,222560
place-mlmnl,634199
place-river,65124
place-fldcr,189752
place-harsq,453865
place-spmnl,10214
place-bomnl,11099
place-north,599826
place-sdmnl,18851
place-wondl,390799
place-shmnl,119524
