id,n
place-chmnl,82551
place-masta,70420
place-rcmnl,21428
place-smmnl,7431
place-qnctr,27191
place-lech,49083
place-bbsta,165104
place-cntsq,163401
place-knncl,116937
place-coecl,154494
place-aport,92529
place-astao,36007
place-welln,21839
place-symcl,31856
place-nqncy,36333
place-dwnxg,219454
place-sstat,194274
place-crtst,23456
place-mvbcl,57040
place-ogmnl,12150
place-boyls,123531
place-state,133160
place-forhl,58656
place-jaksn,27067
place-armnl,72126
place-chncl,110700
place-qamnl,8301
place-haecl,127683
place-portr,48529
place-sull,47385
place-hymnl,121922
place-prmnl,45679
place-rbmnl,15379
place-aqucl,109554
place-orhte,19926
place-tumnl,53004
place-brdwy,42992
place-sbmnl,10316
place-pktrm,188995
place-alfcl,41519
place-wimnl,12971
place-brntn,12036
place-rugg,69906
place-gover,73839
place-asmnl,39826
place-jfk,31633
place-bmmnl,11878
place-ccmnl,27314
place-davis,72136
place-wtcst,7547
place-grnst,11812
place-kencl,205281
place-andrw,30920
place-mlmnl,38528
place-river,6120
place-fldcr,23455
place-harsq,226613
place-spmnl,5586
place-bomnl,22940
place-north,240703
place-sdmnl,1680
place-wondl,27827
place-shmnl,7705
