id,n
place-chmnl,438243
place-masta,182797
place-rcmnl,130209
place-smmnl,33895
place-qnctr,104287
place-lech,185908
place-bbsta,551313
place-cntsq,441478
place-knncl,754435
place-coecl,434946
place-aport,173921
place-astao,149983
place-welln,113289
place-symcl,42813
place-nqncy,137452
place-dwnxg,986083
place-sstat,797342
place-crtst,79651
place-mvbcl,253290
place-ogmnl,64367
place-boyls,194529
place-state,642037
place-forhl,217699
place-jaksn,124535
place-armnl,307252
place-chncl,220225
place-qamnl,56185
place-haecl,362000
place-portr,107041
place-sull,214967
place-hymnl,245350
place-prmnl,128435
place-rbmnl,68227
place-aqucl,230045
place-orhte,71165
place-tumnl,272464
place-brdwy,157600
place-sbmnl,59821
place-pktrm,651628
place-alfcl,197550
place-wimnl,54490
place-brntn,62176
place-rugg,348881
place-gover,349304
place-asmnl,139810
place-jfk,227140
place-bmmnl,47772
place-ccmnl,118849
place-davis,158371
place-wtcst,51752
place-grnst,53126
place-kencl,287625
place-andrw,151977
place-mlmnl,157587
place-river,51174
place-fldcr,94870
place-harsq,645401
place-spmnl,43757
place-bomnl,109789
place-north,426568
place-sdmnl,10146
place-wondl,84755
place-shmnl,38418
