id,n
place-chmnl,164470
place-masta,83685
place-rcmnl,42399
place-smmnl,9846
place-qnctr,41948
place-lech,86080
place-bbsta,237288
place-cntsq,226293
place-knncl,237104
place-coecl,273332
place-aport,91597
place-astao,52934
place-welln,36608
place-symcl,26891
place-nqncy,39553
place-dwnxg,464046
place-sstat,328507
place-crtst,31158
place-mvbcl,86662
place-ogmnl,20347
place-boyls,125735
place-state,213833
place-forhl,72613
place-jaksn,43626
place-armnl,121625
place-chncl,124713
place-qamnl,13893
place-haecl,166153
place-portr,69562
place-sull,68444
place-hymnl,173325
place-prmnl,73808
place-rbmnl,19850
place-aqucl,97970
place-orhte,26412
place-tumnl,77695
place-brdwy,77161
place-sbmnl,22264
place-pktrm,300159
place-alfcl,64134
place-wimnl,12885
place-brntn,20785
place-rugg,123609
place-gover,124782
place-asmnl,54808
place-jfk,76877
place-bmmnl,16267
place-ccmnl,52719
place-davis,95956
place-wtcst,11282
place-grnst,17533
place-kencl,130090
place-andrw,51079
place-mlmnl,51255
place-river,12242
place-fldcr,34524
place-harsq,292385
place-spmnl,10620
place-bomnl,26419
place-north,136265
place-sdmnl,4029
place-wondl,38822
place-shmnl,13629
