id,n
place-chmnl,335
place-masta,598
place-rcmnl,344
place-smmnl,257
place-qnctr,186
place-lech,12
place-bbsta,443
place-cntsq,1239
place-knncl,331
place-coecl,319
place-aport,542
place-astao,329
place-welln,229
place-symcl,50
place-nqncy,225
place-dwnxg,693
place-sstat,734
place-crtst,306
place-mvbcl,350
place-ogmnl,327
place-boyls,394
place-state,458
place-forhl,810
place-jaksn,322
place-armnl,331
place-chncl,413
place-qamnl,204
place-haecl,738
place-portr,494
place-sull,551
place-hymnl,204
place-prmnl,149
place-rbmnl,275
place-aqucl,656
place-orhte,1709
place-tumnl,596
place-brdwy,280
place-sbmnl,190
place-pktrm,778
place-alfcl,725
place-wimnl,242
place-brntn,225
place-rugg,414
place-gover,271
place-asmnl,502
place-jfk,218
place-bmmnl,121
place-ccmnl,290
place-davis,301
place-wtcst,552
place-grnst,283
place-kencl,405
place-andrw,277
place-mlmnl,175
place-river,271
place-fldcr,185
place-harsq,910
place-spmnl,126
place-bomnl,111
place-north,826
place-sdmnl,161
place-wondl,361
place-shmnl,424
