id,n
place-chmnl,444
place-masta,525
place-rcmnl,613
place-smmnl,4593
place-qnctr,4470
place-lech,2650
place-bbsta,604
place-cntsq,1636
place-knncl,527
place-coecl,825
place-aport,8394
place-astao,283
place-welln,2037
place-symcl,310
place-nqncy,3051
place-dwnxg,1083
place-sstat,1390
place-crtst,755
place-mvbcl,6367
place-ogmnl,14428
place-boyls,320
place-state,2252
place-forhl,23189
place-jaksn,2481
place-armnl,579
place-chncl,280
place-qamnl,4657
place-haecl,16211
place-portr,2132
place-sull,4281
place-hymnl,1201
place-prmnl,341
place-rbmnl,7313
place-aqucl,716
place-orhte,11861
place-tumnl,606
place-brdwy,605
place-sbmnl,930
place-pktrm,1304
place-alfcl,11473
place-wimnl,6041
place-brntn,25370
place-rugg,562
place-gover,1071
place-asmnl,15371
place-jfk,1170
place-bmmnl,6940
place-ccmnl,425
place-davis,2302
place-wtcst,183
place-grnst,1352
place-kencl,1134
place-andrw,1777
place-mlmnl,9284
place-river,1811
place-fldcr,5397
place-harsq,2842
place-spmnl,574
place-bomnl,272
place-north,1002
place-sdmnl,206
place-wondl,13763
place-shmnl,1615
