id,n
place-chmnl,189574
place-masta,109506
place-rcmnl,127260
place-smmnl,34748
place-qnctr,99725
place-lech,109679
place-bbsta,254528
place-cntsq,261341
place-knncl,279392
place-coecl,270260
place-aport,165234
place-astao,71662
place-welln,95085
place-symcl,34861
place-nqncy,97911
place-dwnxg,497816
place-sstat,337716
place-crtst,34414
place-mvbcl,230146
place-ogmnl,62388
place-boyls,123546
place-state,259608
place-forhl,218364
place-jaksn,102951
place-armnl,139857
place-chncl,147370
place-qamnl,38747
place-haecl,252243
place-portr,102306
place-sull,166036
place-hymnl,148833
place-prmnl,78267
place-rbmnl,72579
place-aqucl,117743
place-orhte,66754
place-tumnl,121137
place-brdwy,95962
place-sbmnl,51090
place-pktrm,334460
place-alfcl,123417
place-wimnl,40256
place-brntn,48448
place-rugg,209029
place-gover,162582
place-asmnl,152567
place-jfk,184151
place-bmmnl,54226
place-ccmnl,106265
place-davis,145280
place-wtcst,19416
place-grnst,53027
place-kencl,164377
place-andrw,117406
place-mlmnl,174004
place-river,29507
place-fldcr,106031
place-harsq,414611
place-spmnl,24992
place-bomnl,40342
place-north,197116
place-sdmnl,8462
place-wondl,99737
place-shmnl,37345
