id,n,lat,log,name
place-chmnl,444,42.361166,-71.070628,Charles/MGH
place-masta,525,42.341512,-71.083423,Massachusetts Avenue
place-rcmnl,613,42.331397,-71.095451,Roxbury Crossing
place-smmnl,4593,42.293126,-71.065738,Shawmut
place-qnctr,4470,42.251809,-71.005409,Quincy Center
place-lech,2650,42.370772,-71.076536,Lechmere
place-bbsta,604,42.347350,-71.075727,Back Bay
place-cntsq,1636,42.365486,-71.103802,Central
place-knncl,527,42.362491,-71.086177,Kendall/MIT
place-coecl,825,42.349974,-71.077447,Copley
place-aport,8394,42.374262,-71.030395,Airport
place-astao,283,42.392811,-71.077257,Assembly
place-welln,2037,42.402370,-71.077082,Wellington
place-symcl,310,42.342687,-71.085056,Symphony
place-nqncy,3051,42.275275,-71.029583,North Quincy
place-dwnxg,1083,42.355518,-71.060225,Downtown Crossing
place-sstat,1390,42.352271,-71.055242,South Station
place-mvbcl,6367,42.369119,-71.039530,Maverick
place-ogmnl,14428,42.436680,-71.071097,Oak Grove
place-boyls,320,42.353020,-71.064590,Boylston
place-state,2252,42.358978,-71.057598,State Street
place-forhl,23189,42.300523,-71.113686,Forest Hills
place-jaksn,2481,42.323132,-71.099592,Jackson Square
place-armnl,579,42.351902,-71.070893,Arlington
place-chncl,280,42.352547,-71.062752,Chinatown
place-qamnl,4657,42.233391,-71.007153,Quincy Adams
place-haecl,16211,42.363021,-71.058290,Haymarket
place-portr,2132,42.388400,-71.119149,Porter
place-sull,4281,42.383975,-71.076994,Sullivan Square
place-hymnl,1201,42.347888,-71.087903,Hynes Convention Center
place-prmnl,341,42.345570,-71.081696,Prudential
place-rbmnl,7313,42.407843,-70.992533,Revere Beach
place-aqucl,716,42.359784,-71.051652,Aquarium
place-orhte,11861,42.386867,-71.004736,Orient Heights
place-tumnl,606,42.349662,-71.063917,Tufts Medical Center
place-brdwy,605,42.342622,-71.056967,Broadway
place-sbmnl,930,42.317062,-71.104248,Stony Brook
place-pktrm,1304,42.356395,-71.062424,Park Street
place-alfcl,11473,42.395428,-71.142483,Alewife
place-wimnl,6041,42.379640,-71.022865,Wood Island
place-brntn,25370,42.207854,-71.001138,Braintree
place-rugg,562,42.336377,-71.088961,Ruggles
place-gover,1071,42.359705,-71.059215,Government Center
place-asmnl,15371,42.284652,-71.064489,Ashmont
place-jfk,1170,42.320685,-71.052391,JFK/UMass
place-bmmnl,6940,42.397542,-70.992319,Beachmont
place-ccmnl,425,42.373622,-71.069533,Community College
place-davis,2302,42.396740,-71.121815,Davis
place-grnst,1352,42.310525,-71.107414,Green Street
place-kencl,1134,42.348949,-71.095169,Kenmore
place-andrw,1777,42.330154,-71.057655,Andrew
place-mlmnl,9284,42.426632,-71.074110,Malden Center
place-river,1811,42.337059,-71.251742,Riverside
place-fldcr,5397,42.300093,-71.061667,Fields Corner
place-harsq,2842,42.373362,-71.118956,Harvard
place-spmnl,574,42.366664,-71.067666,Science Park
place-bomnl,272,42.361365,-71.062037,Bowdoin
place-north,1002,42.365577,-71.061290,North Station
place-sdmnl,206,42.390501,-70.997123,Suffolk Downs
place-wondl,13763,42.413420,-70.991648,Wonderland
place-shmnl,1615,42.311290,-71.053331,Savin Hill
