id,n,lat,log,name
place-chmnl,438243,42.361166,-71.070628,Charles/MGH
place-masta,182797,42.341512,-71.083423,Massachusetts Avenue
place-rcmnl,130209,42.331397,-71.095451,Roxbury Crossing
place-smmnl,33895,42.293126,-71.065738,Shawmut
place-qnctr,104287,42.251809,-71.005409,Quincy Center
place-lech,185908,42.370772,-71.076536,Lechmere
place-bbsta,551313,42.347350,-71.075727,Back Bay
place-cntsq,441478,42.365486,-71.103802,Central
place-knncl,754435,42.362491,-71.086177,Kendall/MIT
place-coecl,434946,42.349974,-71.077447,Copley
place-aport,173921,42.374262,-71.030395,Airport
place-astao,149983,42.392811,-71.077257,Assembly
place-welln,113289,42.402370,-71.077082,Wellington
place-symcl,42813,42.342687,-71.085056,Symphony
place-nqncy,137452,42.275275,-71.029583,North Quincy
place-dwnxg,986083,42.355518,-71.060225,Downtown Crossing
place-sstat,797342,42.352271,-71.055242,South Station
place-mvbcl,253290,42.369119,-71.039530,Maverick
place-ogmnl,64367,42.436680,-71.071097,Oak Grove
place-boyls,194529,42.353020,-71.064590,Boylston
place-state,642037,42.358978,-71.057598,State Street
place-forhl,217699,42.300523,-71.113686,Forest Hills
place-jaksn,124535,42.323132,-71.099592,Jackson Square
place-armnl,307252,42.351902,-71.070893,Arlington
place-chncl,220225,42.352547,-71.062752,Chinatown
place-qamnl,56185,42.233391,-71.007153,Quincy Adams
place-haecl,362000,42.363021,-71.058290,Haymarket
place-portr,107041,42.388400,-71.119149,Porter
place-sull,214967,42.383975,-71.076994,Sullivan Square
place-hymnl,245350,42.347888,-71.087903,Hynes Convention Center
place-prmnl,128435,42.345570,-71.081696,Prudential
place-rbmnl,68227,42.407843,-70.992533,Revere Beach
place-aqucl,230045,42.359784,-71.051652,Aquarium
place-orhte,71165,42.386867,-71.004736,Orient Heights
place-tumnl,272464,42.349662,-71.063917,Tufts Medical Center
place-brdwy,157600,42.342622,-71.056967,Broadway
place-sbmnl,59821,42.317062,-71.104248,Stony Brook
place-pktrm,651628,42.356395,-71.062424,Park Street
place-alfcl,197550,42.395428,-71.142483,Alewife
place-wimnl,54490,42.379640,-71.022865,Wood Island
place-brntn,62176,42.207854,-71.001138,Braintree
place-rugg,348881,42.336377,-71.088961,Ruggles
place-gover,349304,42.359705,-71.059215,Government Center
place-asmnl,139810,42.284652,-71.064489,Ashmont
place-jfk,227140,42.320685,-71.052391,JFK/UMass
place-bmmnl,47772,42.397542,-70.992319,Beachmont
place-ccmnl,118849,42.373622,-71.069533,Community College
place-davis,158371,42.396740,-71.121815,Davis
place-grnst,53126,42.310525,-71.107414,Green Street
place-kencl,287625,42.348949,-71.095169,Kenmore
place-andrw,151977,42.330154,-71.057655,Andrew
place-mlmnl,157587,42.426632,-71.074110,Malden Center
place-river,51174,42.337059,-71.251742,Riverside
place-fldcr,94870,42.300093,-71.061667,Fields Corner
place-harsq,645401,42.373362,-71.118956,Harvard
place-spmnl,43757,42.366664,-71.067666,Science Park
place-bomnl,109789,42.361365,-71.062037,Bowdoin
place-north,426568,42.365577,-71.061290,North Station
place-sdmnl,10146,42.390501,-70.997123,Suffolk Downs
place-wondl,84755,42.413420,-70.991648,Wonderland
place-shmnl,38418,42.311290,-71.053331,Savin Hill
