id,n,lat,log,name
place-chmnl,82551,42.361166,-71.070628,Charles/MGH
place-masta,70420,42.341512,-71.083423,Massachusetts Avenue
place-rcmnl,21428,42.331397,-71.095451,Roxbury Crossing
place-smmnl,7431,42.293126,-71.065738,Shawmut
place-qnctr,27191,42.251809,-71.005409,Quincy Center
place-lech,49083,42.370772,-71.076536,Lechmere
place-bbsta,165104,42.347350,-71.075727,Back Bay
place-cntsq,163401,42.365486,-71.103802,Central
place-knncl,116937,42.362491,-71.086177,Kendall/MIT
place-coecl,154494,42.349974,-71.077447,Copley
place-aport,92529,42.374262,-71.030395,Airport
place-astao,36007,42.392811,-71.077257,Assembly
place-welln,21839,42.402370,-71.077082,Wellington
place-symcl,31856,42.342687,-71.085056,Symphony
place-nqncy,36333,42.275275,-71.029583,North Quincy
place-dwnxg,219454,42.355518,-71.060225,Downtown Crossing
place-sstat,194274,42.352271,-71.055242,South Station
place-mvbcl,57040,42.369119,-71.039530,Maverick
place-ogmnl,12150,42.436680,-71.071097,Oak Grove
place-boyls,123531,42.353020,-71.064590,Boylston
place-state,133160,42.358978,-71.057598,State Street
place-forhl,58656,42.300523,-71.113686,Forest Hills
place-jaksn,27067,42.323132,-71.099592,Jackson Square
place-armnl,72126,42.351902,-71.070893,Arlington
place-chncl,110700,42.352547,-71.062752,Chinatown
place-qamnl,8301,42.233391,-71.007153,Quincy Adams
place-haecl,127683,42.363021,-71.058290,Haymarket
place-portr,48529,42.388400,-71.119149,Porter
place-sull,47385,42.383975,-71.076994,Sullivan Square
place-hymnl,121922,42.347888,-71.087903,Hynes Convention Center
place-prmnl,45679,42.345570,-71.081696,Prudential
place-rbmnl,15379,42.407843,-70.992533,Revere Beach
place-aqucl,109554,42.359784,-71.051652,Aquarium
place-orhte,19926,42.386867,-71.004736,Orient Heights
place-tumnl,53004,42.349662,-71.063917,Tufts Medical Center
place-brdwy,42992,42.342622,-71.056967,Broadway
place-sbmnl,10316,42.317062,-71.104248,Stony Brook
place-pktrm,188995,42.356395,-71.062424,Park Street
place-alfcl,41519,42.395428,-71.142483,Alewife
place-wimnl,12971,42.379640,-71.022865,Wood Island
place-brntn,12036,42.207854,-71.001138,Braintree
place-rugg,69906,42.336377,-71.088961,Ruggles
place-gover,73839,42.359705,-71.059215,Government Center
place-asmnl,39826,42.284652,-71.064489,Ashmont
place-jfk,31633,42.320685,-71.052391,JFK/UMass
place-bmmnl,11878,42.397542,-70.992319,Beachmont
place-ccmnl,27314,42.373622,-71.069533,Community College
place-davis,72136,42.396740,-71.121815,Davis
place-grnst,11812,42.310525,-71.107414,Green Street
place-kencl,205281,42.348949,-71.095169,Kenmore
place-andrw,30920,42.330154,-71.057655,Andrew
place-mlmnl,38528,42.426632,-71.074110,Malden Center
place-river,6120,42.337059,-71.251742,Riverside
place-fldcr,23455,42.300093,-71.061667,Fields Corner
place-harsq,226613,42.373362,-71.118956,Harvard
place-spmnl,5586,42.366664,-71.067666,Science Park
place-bomnl,22940,42.361365,-71.062037,Bowdoin
place-north,240703,42.365577,-71.061290,North Station
place-sdmnl,1680,42.390501,-70.997123,Suffolk Downs
place-wondl,27827,42.413420,-70.991648,Wonderland
place-shmnl,7705,42.311290,-71.053331,Savin Hill
