id,n,lat,log,name
place-chmnl,170427,42.361166,-71.070628,Charles/MGH
place-masta,153293,42.341512,-71.083423,Massachusetts Avenue
place-rcmnl,139329,42.331397,-71.095451,Roxbury Crossing
place-smmnl,115673,42.293126,-71.065738,Shawmut
place-qnctr,414993,42.251809,-71.005409,Quincy Center
place-lech,170986,42.370772,-71.076536,Lechmere
place-bbsta,314531,42.347350,-71.075727,Back Bay
place-cntsq,473932,42.365486,-71.103802,Central
place-knncl,147812,42.362491,-71.086177,Kendall/MIT
place-coecl,183196,42.349974,-71.077447,Copley
place-aport,225208,42.374262,-71.030395,Airport
place-astao,73021,42.392811,-71.077257,Assembly
place-welln,390970,42.402370,-71.077082,Wellington
place-symcl,50690,42.342687,-71.085056,Symphony
place-nqncy,444724,42.275275,-71.029583,North Quincy
place-dwnxg,150491,42.355518,-71.060225,Downtown Crossing
place-sstat,614689,42.352271,-71.055242,South Station
place-mvbcl,458551,42.369119,-71.039530,Maverick
place-ogmnl,423151,42.436680,-71.071097,Oak Grove
place-boyls,50608,42.353020,-71.064590,Boylston
place-state,58211,42.358978,-71.057598,State Street
place-forhl,615667,42.300523,-71.113686,Forest Hills
place-jaksn,230214,42.323132,-71.099592,Jackson Square
place-armnl,57904,42.351902,-71.070893,Arlington
place-chncl,49255,42.352547,-71.062752,Chinatown
place-qamnl,307942,42.233391,-71.007153,Quincy Adams
place-haecl,221532,42.363021,-71.058290,Haymarket
place-portr,479786,42.388400,-71.119149,Porter
place-sull,343092,42.383975,-71.076994,Sullivan Square
place-hymnl,119106,42.347888,-71.087903,Hynes Convention Center
place-prmnl,51723,42.345570,-71.081696,Prudential
place-rbmnl,118453,42.407843,-70.992533,Revere Beach
place-aqucl,24840,42.359784,-71.051652,Aquarium
place-orhte,182093,42.386867,-71.004736,Orient Heights
place-tumnl,77703,42.349662,-71.063917,Tufts Medical Center
place-brdwy,224495,42.342622,-71.056967,Broadway
place-sbmnl,204508,42.317062,-71.104248,Stony Brook
place-pktrm,124808,42.356395,-71.062424,Park Street
place-alfcl,666525,42.395428,-71.142483,Alewife
place-wimnl,83007,42.379640,-71.022865,Wood Island
place-brntn,165614,42.207854,-71.001138,Braintree
place-rugg,175002,42.336377,-71.088961,Ruggles
place-gover,54764,42.359705,-71.059215,Government Center
place-asmnl,406596,42.284652,-71.064489,Ashmont
place-jfk,211134,42.320685,-71.052391,JFK/UMass
place-bmmnl,158087,42.397542,-70.992319,Beachmont
place-ccmnl,78406,42.373622,-71.069533,Community College
place-davis,728839,42.396740,-71.121815,Davis
place-grnst,174626,42.310525,-71.107414,Green Street
place-kencl,138273,42.348949,-71.095169,Kenmore
place-andrw,222560,42.330154,-71.057655,Andrew
place-mlmnl,634199,42.426632,-71.074110,Malden Center
place-river,65124,42.337059,-71.251742,Riverside
place-fldcr,189752,42.300093,-71.061667,Fields Corner
place-harsq,453865,42.373362,-71.118956,Harvard
place-spmnl,10214,42.366664,-71.067666,Science Park
place-bomnl,11099,42.361365,-71.062037,Bowdoin
place-north,599826,42.365577,-71.061290,North Station
place-sdmnl,18851,42.390501,-70.997123,Suffolk Downs
place-wondl,390799,42.413420,-70.991648,Wonderland
place-shmnl,119524,42.311290,-71.053331,Savin Hill
