id,n,lat,log,name
place-chmnl,335,42.361166,-71.070628,Charles/MGH
place-masta,598,42.341512,-71.083423,Massachusetts Avenue
place-rcmnl,344,42.331397,-71.095451,Roxbury Crossing
place-smmnl,257,42.293126,-71.065738,Shawmut
place-qnctr,186,42.251809,-71.005409,Quincy Center
place-lech,12,42.370772,-71.076536,Lechmere
place-bbsta,443,42.347350,-71.075727,Back Bay
place-cntsq,1239,42.365486,-71.103802,Central
place-knncl,331,42.362491,-71.086177,Kendall/MIT
place-coecl,319,42.349974,-71.077447,Copley
place-aport,542,42.374262,-71.030395,Airport
place-astao,329,42.392811,-71.077257,Assembly
place-welln,229,42.402370,-71.077082,Wellington
place-symcl,50,42.342687,-71.085056,Symphony
place-nqncy,225,42.275275,-71.029583,North Quincy
place-dwnxg,693,42.355518,-71.060225,Downtown Crossing
place-sstat,734,42.352271,-71.055242,South Station
place-mvbcl,350,42.369119,-71.039530,Maverick
place-ogmnl,327,42.436680,-71.071097,Oak Grove
place-boyls,394,42.353020,-71.064590,Boylston
place-state,458,42.358978,-71.057598,State Street
place-forhl,810,42.300523,-71.113686,Forest Hills
place-jaksn,322,42.323132,-71.099592,Jackson Square
place-armnl,331,42.351902,-71.070893,Arlington
place-chncl,413,42.352547,-71.062752,Chinatown
place-qamnl,204,42.233391,-71.007153,Quincy Adams
place-haecl,738,42.363021,-71.058290,Haymarket
place-portr,494,42.388400,-71.119149,Porter
place-sull,551,42.383975,-71.076994,Sullivan Square
place-hymnl,204,42.347888,-71.087903,Hynes Convention Center
place-prmnl,149,42.345570,-71.081696,Prudential
place-rbmnl,275,42.407843,-70.992533,Revere Beach
place-aqucl,656,42.359784,-71.051652,Aquarium
place-orhte,1709,42.386867,-71.004736,Orient Heights
place-tumnl,596,42.349662,-71.063917,Tufts Medical Center
place-brdwy,280,42.342622,-71.056967,Broadway
place-sbmnl,190,42.317062,-71.104248,Stony Brook
place-pktrm,778,42.356395,-71.062424,Park Street
place-alfcl,725,42.395428,-71.142483,Alewife
place-wimnl,242,42.379640,-71.022865,Wood Island
place-brntn,225,42.207854,-71.001138,Braintree
place-rugg,414,42.336377,-71.088961,Ruggles
place-gover,271,42.359705,-71.059215,Government Center
place-asmnl,502,42.284652,-71.064489,Ashmont
place-jfk,218,42.320685,-71.052391,JFK/UMass
place-bmmnl,121,42.397542,-70.992319,Beachmont
place-ccmnl,290,42.373622,-71.069533,Community College
place-davis,301,42.396740,-71.121815,Davis
place-grnst,283,42.310525,-71.107414,Green Street
place-kencl,405,42.348949,-71.095169,Kenmore
place-andrw,277,42.330154,-71.057655,Andrew
place-mlmnl,175,42.426632,-71.074110,Malden Center
place-river,271,42.337059,-71.251742,Riverside
place-fldcr,185,42.300093,-71.061667,Fields Corner
place-harsq,910,42.373362,-71.118956,Harvard
place-spmnl,126,42.366664,-71.067666,Science Park
place-bomnl,111,42.361365,-71.062037,Bowdoin
place-north,826,42.365577,-71.061290,North Station
place-sdmnl,161,42.390501,-70.997123,Suffolk Downs
place-wondl,361,42.413420,-70.991648,Wonderland
place-shmnl,424,42.311290,-71.053331,Savin Hill
